trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.005, 'e': 0.8080275083121519}",20,0,-130.8876398438967,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
128,False,"{'a': 0.005, 'e': 0.8050716964734628}",25,16,-25.362647267777852,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
129,False,"{'a': 0.005, 'e': 0.8020957578842927}",25,0,-197.68110936253518,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
130,False,"{'a': 0.005, 'e': 0.7990997669429512}",30,0,-122.16198277873795,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
131,False,"{'a': 0.005, 'e': 0.7960837985490559}",25,0,-27.38402907201937,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
132,False,"{'a': 0.005, 'e': 0.7930479281016595}",20,14,11.306761657808327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.005, 'e': 0.7899922314973651}",25,0,-149.84888000386144,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
134,False,"{'a': 0.005, 'e': 0.7869167851284287}",25,0,5.719833068979169,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.005, 'e': 0.7838216658808492}",25,0,-98.30126735054034,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
136,False,"{'a': 0.005, 'e': 0.7807069511324468}",20,0,-94.74656558905146,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
137,False,"{'a': 0.005, 'e': 0.7775727187509279}",25,0,-80.64261948967368,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.005, 'e': 0.7744190470919388}",25,0,-121.62276548421359,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
139,False,"{'a': 0.005, 'e': 0.7712460149971065}",20,6,-36.89458338586782,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.005, 'e': 0.7680537017920686}",25,0,-191.88415726303475,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
141,False,"{'a': 0.005, 'e': 0.7648421872844884}",20,0,-21.234641902153818,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
142,False,"{'a': 0.005, 'e': 0.7616115517620617}",35,0,-125.06566238206969,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
143,False,"{'a': 0.005, 'e': 0.7583618759905082}",25,9,-17.25058413108059,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.005, 'e': 0.7550932412115529}",30,0,-117.45671259929986,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
145,False,"{'a': 0.005, 'e': 0.751805729140895}",20,0,-108.72522093600094,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
146,False,"{'a': 0.005, 'e': 0.7484994219661651}",25,0,-45.50216379598585,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
147,False,"{'a': 0.005, 'e': 0.7451744023448704}",30,0,-3.523791622523869,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.005, 'e': 0.7418307534023283}",20,0,-64.77076997412307,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
149,False,"{'a': 0.005, 'e': 0.7384685587295879}",20,10,-57.04011546810984,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
150,False,"{'a': 0.005, 'e': 0.7350879023813413}",25,0,-152.76426338942568,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
151,False,"{'a': 0.005, 'e': 0.7316888688738209}",20,7,-2.8594028546728882,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.005, 'e': 0.7282715431826874}",30,16,-100.62505356658873,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 2}",1
153,False,"{'a': 0.005, 'e': 0.7248360107409052}",20,0,-67.82991989962345,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.005, 'e': 0.7213823574366063}",25,0,-41.3722236344021,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
155,False,"{'a': 0.005, 'e': 0.7179106696109434}",20,0,2.6624484548446676,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.005, 'e': 0.7144210340559314}",25,0,-89.80200301911623,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
157,False,"{'a': 0.005, 'e': 0.7109135380122773}",35,0,-83.92521826397306,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.005, 'e': 0.7073882691671998}",20,0,-84.21942542377481,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
159,False,"{'a': 0.005, 'e': 0.7038453156522362}",20,0,-41.32131450025448,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
160,False,"{'a': 0.005, 'e': 0.7002847660410397}",25,9,-16.547940604471155,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.005, 'e': 0.6967067093471655}",20,0,-47.07471169997425,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
162,False,"{'a': 0.005, 'e': 0.6931112350218442}",20,11,-50.23823922137785,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.005, 'e': 0.6894984329517471}",25,0,-60.63368756040514,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
164,False,"{'a': 0.005, 'e': 0.6858683934567373}",30,2,-49.58155587043385,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 1}",1
165,False,"{'a': 0.005, 'e': 0.6822212072876136}",30,4,-79.82230107882236,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 1}",1
166,False,"{'a': 0.005, 'e': 0.6785569656238399}",20,0,-50.16202916365043,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
167,False,"{'a': 0.005, 'e': 0.6748757600712672}",30,3,-173.77142624980527,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 3}",1
168,False,"{'a': 0.005, 'e': 0.6711776826598423}",25,0,-27.615318623135362,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
169,False,"{'a': 0.005, 'e': 0.6674628258413082}",35,0,-49.90750548853861,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.005, 'e': 0.6637312824868916}",20,12,9.473217739222534,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.005, 'e': 0.6599831458849822}",25,0,-131.1251840442259,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
172,False,"{'a': 0.005, 'e': 0.6562185097387998}",20,9,-12.924488636304899,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
173,False,"{'a': 0.005, 'e': 0.6524374681640519}",25,0,-100.05801383747591,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
174,False,"{'a': 0.005, 'e': 0.648640115686581}",20,13,11.664093369141991,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.005, 'e': 0.6448265472400012}",25,0,-50.25782404574811,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
176,False,"{'a': 0.005, 'e': 0.6409968581633252}",20,0,-48.9913583071028,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
