trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-37.78052678554728,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-179.64596593142684,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-140.46618616327572,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-81.57188667960686,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-48.58924753898001,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-56.99263024872346,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-145.5133163310015,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-213.77352314086338,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
41,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-57.994671835395096,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,23,-0.4354794374612174,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-123.42794061710693,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-122.89863260954253,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-12.142548450117818,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-36.30037921108593,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-152.43915077175203,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,10,-42.959407828493546,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-170.09728209898435,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-45.65543875293563,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
